NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,Throughput,Size
5,Vector,50,385253.53700,7705.07074,3852.53537,1661243670.81411,1600000
5,Hashmap,50,6586195.07000,131723.90140,65861.95070,10257151.40259,168889
6,Sequence,60000,3633022.61500,60.55038,30.27519,528485.56243,4
6,Vector,60,523874.47200,8731.24120,4365.62060,1466000045.90413,1600000
6,Hashmap,60,7227943.38000,120465.72300,60232.86150,11215738.10668,168889
7,Sequence,70000,4100073.29200,58.57248,29.28624,546331.69714,4
7,Vector,70,564228.07500,8060.40107,4030.20054,1588010309.48345,1600000
7,Hashmap,70,12563184.00600,179474.05723,89737.02861,7528174.38277,168889
8,Sequence,80000,5020800.30600,62.76000,31.38000,509878.87269,4
8,Vector,80,947382.51600,11842.28145,5921.14072,1080872807.66326,1600000
8,Hashmap,80,12153411.62900,151917.64536,75958.82268,8893713.41147,168889
9,Sequence,90000,5558022.42500,61.75580,30.87790,518169.91365,4
9,Vector,90,1377897.52700,15309.97252,7654.98626,836056366.62123,1600000
9,Hashmap,90,12977520.01800,144194.66687,72097.33343,9370055.28262,168889
10,Sequence,100000,5954539.25600,59.54539,29.77270,537405.13958,4
10,Vector,100,1481286.98300,14812.86983,7406.43492,864113446.40838,1600000
10,Hashmap,100,13954939.54100,139549.39541,69774.69771,9681962.40500,168889
1,Sequence,10000,479036.08900,47.90361,23.95180,668008.12579,4
1,Vector,10,37453.40800,3745.34080,1872.67040,3417579516.39541,1600000
1,Hashmap,10,855708.63500,85570.86350,42785.43175,15789393.08004,168889
2,Sequence,20000,1132405.05200,56.62025,28.31013,565168.79616,4
2,Vector,20,127367.19900,6368.35995,3184.17998,2009936639.96646,1600000
2,Hashmap,20,2012659.99500,100632.99975,50316.49988,13426132.61412,168889
3,Sequence,30000,1796320.94800,59.87736,29.93868,534425.65543,4
3,Vector,30,212098.70500,7069.95683,3534.97842,1810477815.03428,1600000
3,Hashmap,30,2895149.62500,96504.98750,48252.49375,14000437.02405,168889
4,Sequence,40000,2360406.74600,59.01017,29.50508,542279.41950,4
4,Vector,40,283437.12400,7085.92810,3542.96405,1806397104.14222,1600000
4,Hashmap,40,4305587.06500,107639.67663,53819.83831,12552174.46172,168889
5,Sequence,50000,3119889.81900,62.39780,31.19890,512838.62342,4
5,Vector,50,390658.27800,7813.16556,3906.58278,1638260433.84136,1600000
5,Hashmap,50,6931382.15500,138627.64310,69313.82155,9746338.96809,168889
6,Sequence,60000,3645072.29900,60.75120,30.37560,526738.52327,4
6,Vector,60,629803.05200,10496.71753,5248.35877,1219428831.85647,1600000
6,Hashmap,60,8955064.93600,149251.08227,74625.54113,9052611.07310,168889
7,Sequence,70000,4237722.92600,60.53890,30.26945,528585.76153,4
7,Vector,70,710233.42200,10146.19174,5073.09587,1261557077.21679,1600000
7,Hashmap,70,10439202.92400,149131.47034,74565.73517,9059871.78222,168889
8,Sequence,80000,4810527.02100,60.13159,30.06579,532166.22396,4
8,Vector,80,1070923.15000,13386.53937,6693.26969,956184391.00882,1600000
8,Hashmap,80,10632436.89400,132905.46118,66452.73059,10165962.99396,168889
9,Sequence,90000,5734452.75000,63.71614,31.85807,502227.52293,4
9,Vector,90,1230949.47200,13677.21636,6838.60818,935862946.61492,1600000
9,Hashmap,90,11977164.57100,133079.60634,66539.80317,10152660.02894,168889
10,Sequence,100000,6279717.55400,62.79718,31.39859,509577.05860,4
10,Vector,100,1198433.44800,11984.33448,5992.16724,1068060977.55042,1600000
10,Hashmap,100,14106486.25600,141064.86256,70532.43128,9577948.57968,168889
1,Sequence,10000,475695.62600,47.56956,23.78478,672699.05904,4
1,Vector,10,51566.45200,5156.64520,2578.32260,2482233991.97602,1600000
1,Hashmap,10,834190.76700,83419.07670,41709.53835,16196678.90666,168889
2,Sequence,20000,1059240.87600,52.96204,26.48102,604206.29009,4
2,Vector,20,97767.17700,4888.35885,2444.17943,2618465704.49712,1600000
2,Hashmap,20,1775978.31200,88798.91560,44399.45780,15215411.03144,168889
3,Sequence,30000,1685486.47100,56.18288,28.09144,569568.49937,4
3,Vector,30,184394.46800,6146.48227,3073.24113,2082491975.84387,1600000
