NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,Throughput,Size
3,Vector,30,197245.00000,6574.83333,3287.41667,1946817409.82027,1600000
3,Hashmap,30,3060572.77800,102019.09260,51009.54630,26487434.17661,337778
4,Sequence,400000,16569687.09700,41.42422,20.71211,772494.97381,4
4,Vector,40,248130.41400,6203.26035,3101.63018,2063431047.19118,1600000
4,Hashmap,40,4439422.55500,110985.56387,55492.78194,24347526.88236,337778
5,Sequence,500000,22153052.25600,44.30610,22.15305,722248.10446,4
5,Vector,50,660218.15900,13204.36318,6602.18159,969376548.15399,1600000
5,Hashmap,50,5399457.19900,107989.14398,53994.57199,25023107.88296,337778
6,Sequence,600000,26431564.20100,44.05261,22.02630,726404.22844,4
6,Vector,60,657363.25500,10956.05425,5478.02713,1168303817.04253,1600000
6,Hashmap,60,7329866.19600,122164.43660,61082.21830,22119563.39510,337778
7,Sequence,700000,30408081.76700,43.44012,21.72006,736646.26962,4
7,Vector,70,986097.21300,14087.10304,7043.55152,908632524.44868,1600000
7,Hashmap,70,9613260.47400,137332.29249,68666.14624,19676537.47775,337778
8,Sequence,800000,35020832.34700,43.77604,21.88802,730993.47686,4
8,Vector,80,1046909.50700,13086.36884,6543.18442,978117013.12595,1600000
8,Hashmap,80,10477596.38400,130969.95480,65484.97740,20632396.21733,337778
9,Sequence,900000,39919017.00800,44.35446,22.17723,721460.65105,4
9,Vector,90,1400468.98100,15560.76646,7780.38323,822581589.18837,1600000
9,Hashmap,90,12094023.52200,134378.03913,67189.01957,20109119.14944,337778
10,Sequence,1000000,45877522.19100,45.87752,22.93876,697509.33511,4
10,Vector,100,1520474.28100,15204.74281,7602.37141,841842585.56360,1600000
10,Hashmap,100,11567856.03500,115678.56035,57839.28018,23359765.12695,337778
1,Sequence,100000,3599331.83000,35.99332,17.99666,889053.89976,4
1,Vector,10,41018.48800,4101.84880,2050.92440,3120544082.46350,1600000
1,Hashmap,10,885248.54500,88524.85450,44262.42725,30525031.81465,337778
2,Sequence,200000,8207385.49900,41.03693,20.51846,779785.47502,4
2,Vector,20,123359.19000,6167.95950,3083.97975,2075240604.28737,1600000
2,Hashmap,20,2096829.27800,104841.46390,52420.73195,25774382.57231,337778
3,Sequence,300000,11701971.67000,39.00657,19.50329,820374.57197,4
3,Vector,30,177086.44900,5902.88163,2951.44082,2168432436.06969,1600000
3,Hashmap,30,3603242.28400,120108.07613,60054.03807,22498270.61588,337778
4,Sequence,400000,16430972.26500,41.07743,20.53872,779016.59096,4
4,Vector,40,244100.58100,6102.51453,3051.25726,2097496031.76897,1600000
4,Hashmap,40,4330213.94600,108255.34865,54127.67433,24961574.95863,337778
5,Sequence,500000,20575016.24200,41.15003,20.57502,777642.15648,4
5,Vector,50,507755.30300,10155.10606,5077.55303,1260449661.91126,1600000
5,Hashmap,50,5787112.83400,115742.25668,57871.12834,23346909.56883,337778
6,Sequence,600000,26946516.99900,44.91086,22.45543,712522.51268,4
6,Vector,60,523579.71800,8726.32863,4363.16432,1466825344.06346,1600000
6,Hashmap,60,7678778.82500,127979.64708,63989.82354,21114482.35390,337778
7,Sequence,700000,32078869.88300,45.82696,22.91348,698278.96312,4
7,Vector,70,1179608.23000,16851.54614,8425.77307,759574218.97607,1600000
7,Hashmap,70,9653052.28900,137900.74699,68950.37349,19595426.84914,337778
8,Sequence,800000,34695375.11600,43.36922,21.68461,737850.50354,4
8,Vector,80,904385.81700,11304.82271,5652.41136,1132260126.98516,1600000
8,Hashmap,80,10634089.28000,132926.11600,66463.05800,20328766.69623,337778
9,Sequence,900000,40430688.70900,44.92299,22.46149,712330.18580,4
9,Vector,90,1295358.37800,14392.87087,7196.43543,889329176.82492,1600000
9,Hashmap,90,12635982.15000,140399.80167,70199.90083,19246636.87500,337778
10,Sequence,1000000,45501982.77000,45.50198,22.75099,703266.05682,4
10,Vector,100,1540747.23400,15407.47234,7703.73617,830765729.61091,1600000
10,Hashmap,100,11839019.04300,118390.19043,59195.09522,22824728.89169,337778
1,Sequence,100000,3723451.30400,37.23451,18.61726,859417.71189,4
1,Vector,10,48034.42300,4803.44230,2401.72115,2664755648.25667,1600000
1,Hashmap,10,850511.48700,85051.14870,42525.57435,31771751.95519,337778
2,Sequence,200000,7885097.25400,39.42549,19.71274,811657.71250,4
2,Vector,20,131298.64200,6564.93210,3282.46605,1949753600.65034,1600000
2,Hashmap,20,2133818.25600,106690.91280,53345.45640,25327592.84819,337778
3,Sequence,300000,12136486.24700,40.45495,20.22748,791003.24465,4
3,Vector,30,191357.16400,6378.57213,3189.28607,2006718703.25169,1600000
3,Hashmap,30,3663142.53500,122104.75117,61052.37558,22130375.55198,337778
4,Sequence,400000,16868015.31000,42.17004,21.08502,758832.60507,4
4,Vector,40,271740.33300,6793.50833,3396.75416,1884151661.79987,1600000
4,Hashmap,40,4543863.84800,113596.59620,56798.29810,23787895.85599,337778
5,Sequence,500000,20712935.39300,41.42587,20.71294,772464.14844,4
5,Vector,50,629397.82800,12587.95656,6293.97828,1016844945.32447,1600000
5,Hashmap,50,6183540.44100,123670.80882,61835.40441,21850136.06512,337778
6,Sequence,600000,25483714.29600,42.47286,21.23643,753422.35347,4
6,Vector,60,748787.56100,12479.79268,6239.89634,1025658063.78293,1600000
6,Hashmap,60,7752293.07100,129204.88452,64602.44226,20914255.75828,337778
7,Sequence,700000,29882882.56300,42.68983,21.34492,749593.01375,4
7,Vector,70,892014.62900,12743.06613,6371.53306,1004467831.43508,1600000
7,Hashmap,70,11045526.97700,157793.24253,78896.62126,17125093.29739,337778
8,Sequence,800000,35152735.33200,43.94092,21.97046,728250.58301,4
8,Vector,80,908975.57600,11362.19470,5681.09735,1126542920.44476,1600000
8,Hashmap,80,9597959.32600,119974.49158,59987.24579,22523321.12040,337778
9,Sequence,900000,40744248.78400,45.27139,22.63569,706848.22667,4
9,Vector,90,1508195.39300,16757.72659,8378.86329,763826759.68034,1600000
9,Hashmap,90,12271465.23000,136349.61367,68174.80683,19818347.31564,337778
10,Sequence,1000000,46386945.50100,46.38695,23.19347,689849.25941,4
10,Vector,100,1691021.51100,16910.21511,8455.10756,756938922.22758,1600000
10,Hashmap,100,12805893.84000,128058.93840,64029.46920,21101408.72447,337778
1,Sequence,100000,3798814.91100,37.98815,18.99407,842367.96869,4
1,Vector,10,43580.53800,4358.05380,2179.02690,2937090863.81632,1600000
1,Hashmap,10,1024885.38400,102488.53840,51244.26920,26366109.24681,337778
2,Sequence,200000,7963389.61100,39.81695,19.90847,803677.86993,4
2,Vector,20,134496.03800,6724.80190,3362.40095,1903401793.88779,1600000
2,Hashmap,20,1934652.26700,96732.61335,48366.30668,27934983.93580,337778
3,Sequence,300000,12945775.62600,43.15259,21.57629,741554.64125,4
3,Vector,30,166212.03800,5540.40127,2770.20063,2310301977.04453,1600000
3,Hashmap,30,2922809.12100,97426.97070,48713.48535,27735892.64436,337778
4,Sequence,400000,16732230.88200,41.83058,20.91529,764990.63934,4
