NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,Throughput,Size
9,Vector,90,9229363.76400,102548.48627,51274.24313,124819004.80437,1600000
9,Hashmap,90,15551561.96700,172795.13297,86397.56648,15638310.83438,337778
10,Sequence,1000000,125610234.68300,125.61023,62.80512,254756.31091,4
10,Vector,100,12744132.56200,127441.32562,63720.66281,100438377.72189,1600000
10,Hashmap,100,19297891.27100,192978.91271,96489.45636,14002690.56371,337778
1,Sequence,100000,11201569.87600,112.01570,56.00785,285674.24347,4
1,Vector,10,143373.27100,14337.32710,7168.66355,892774497.69560,1600000
1,Hashmap,10,995514.91600,99551.49160,49775.74580,27143983.04405,337778
2,Sequence,200000,23113320.96000,115.56660,57.78330,276896.60050,4
2,Vector,20,526718.08400,26335.90420,13167.95210,486028499.45057,1600000
2,Hashmap,20,2058545.10300,102927.25515,51463.62758,26253726.44070,337778
3,Sequence,300000,37042737.95000,123.47579,61.73790,259160.10887,4
3,Vector,30,1115651.95400,37188.39847,18594.19923,344193364.80631,1600000
3,Hashmap,30,2919162.17700,97305.40590,48652.70295,27770543.42466,337778
4,Sequence,400000,45779330.96300,114.44833,57.22416,279602.16392,4
4,Vector,40,1879806.73700,46995.16842,23497.58421,272368424.86111,1600000
4,Hashmap,40,4216753.02200,105418.82555,52709.41278,25633220.49835,337778
5,Sequence,500000,57873167.89300,115.74634,57.87317,276466.63527,4
5,Vector,50,2917199.77100,58343.99542,29171.99771,219388471.90455,1600000
5,Hashmap,50,5853840.09000,117076.80180,58538.40090,23080780.80759,337778
6,Sequence,600000,69347209.97700,115.57868,57.78934,276867.66355,4
6,Vector,60,4449564.31800,74159.40530,37079.70265,172601168.36455,1600000
6,Hashmap,60,7891214.32300,131520.23872,65760.11936,20546069.76362,337778
7,Sequence,700000,80981295.03200,115.68756,57.84378,276607.08551,4
7,Vector,70,5927038.62800,84671.98040,42335.99020,151171614.73644,1600000
7,Hashmap,70,10035100.83500,143358.58336,71679.29168,18849405.01447,337778
8,Sequence,800000,93946329.35000,117.43291,58.71646,272496.01104,4
8,Vector,80,7580505.01600,94756.31270,47378.15635,135083348.38361,1600000
8,Hashmap,80,12580007.35200,157250.09190,78625.04595,17184244.32921,337778
